1095 24
0.0000000 0.0003750 0.0002313 
0.0000000 0.0003750 0.0002228 
0.0000000 0.0008500 0.0002153 
0.0000917 0.0003357 0.0002996 
0.0000250 0.0003482 0.0002810 
0.0005167 0.0003482 0.0002575 
0.0021167 0.0003482 0.0002397 
0.0022667 0.0003482 0.0002423 
0.0000000 0.0003482 0.0003030 
0.0000000 0.0003482 0.0003148 
0.0000000 0.0003482 0.0003047 
0.0000000 0.0003482 0.0002633 
0.0000000 0.0004107 0.0001924 
0.0000000 0.0004107 0.0001857 
0.0000000 0.0004107 0.0001721 
0.0000000 0.0004107 0.0001781 
0.0000000 0.0002857 0.0001620 
0.0005167 0.0013750 0.0001612 
0.0020583 0.0006250 0.0001654 
0.0013583 0.0006000 0.0001958 
0.0003500 0.0001955 0.0002988 
0.0015667 0.0002255 0.0002541 
0.0002583 0.0002255 0.0002558 
0.0025333 0.0002255 0.0002928 
0.0045333 0.0002255 0.0002566 
0.0005917 0.0002255 0.0002541 
0.0001667 0.0002255 0.0002675 
0.0000250 0.0002255 0.0001984 
0.0000833 0.0002255 0.0001958 
0.0000000 0.0002255 0.0002161 
0.0000000 0.0002255 0.0002136 
0.0000583 0.0003834 0.0001899 
0.0000000 0.0003834 0.0001781 
0.0000000 0.0003334 0.0001764 
0.0000000 0.0001500 0.0001823 
0.0000000 0.0003500 0.0001924 
0.0000000 0.0004750 0.0001958 
0.0000333 0.0003250 0.0001924 
0.0000000 0.0013500 0.0001950 
0.0000000 0.0014500 0.0001882 
0.0000000 0.0022500 0.0001832 
0.0001583 0.0016500 0.0001781 
0.0019750 0.0010000 0.0001772 
0.0000000 0.0009000 0.0001612 
0.0000000 0.0011000 0.0001569 
0.0015083 0.0015000 0.0001721 
0.0014917 0.0007000 0.0001612 
0.0003833 0.0006000 0.0001714 
0.0007083 0.0004000 0.0002346 
0.0001083 0.0007750 0.0002591 
0.0000000 0.0015250 0.0002093 
0.0000000 0.0016000 0.0001984 
0.0000000 0.0018000 0.0002186 
0.0000000 0.0013500 0.0001958 
0.0000000 0.0013000 0.0001941 
0.0001083 0.0014000 0.0001890 
0.0005667 0.0006000 0.0002102 
0.0002000 0.0009000 0.0002119 
0.0004000 0.0009500 0.0001924 
0.0003417 0.0010000 0.0001866 
0.0001833 0.0008000 0.0001866 
0.0000000 0.0012750 0.0001789 
0.0000000 0.0015250 0.0001815 
0.0000000 0.0017000 0.0001789 
0.0000000 0.0031500 0.0001705 
0.0000000 0.0026500 0.0001553 
0.0000000 0.0025500 0.0001832 
0.0000000 0.0033000 0.0001873 
0.0000000 0.0031000 0.0002034 
0.0000000 0.0029000 0.0002025 
0.0000000 0.0025500 0.0001528 
0.0000000 0.0031000 0.0001477 
0.0000000 0.0039000 0.0001485 
0.0000000 0.0023500 0.0001451 
0.0000000 0.0014000 0.0001376 
0.0000000 0.0018000 0.0001367 
0.0000000 0.0035000 0.0001291 
0.0000000 0.0026000 0.0001089 
0.0000000 0.0033500 0.0000963 
0.0003667 0.0032000 0.0000929 
0.0079417 0.0019500 0.0001030 
0.0052167 0.0013500 0.0001485 
0.0015833 0.0017500 0.0001849 
0.0000000 0.0021000 0.0001992 
